iter	Logloss
0	0.3058210543
1	0.2356350622
2	0.2033325928
3	0.1926566697
4	0.1878333475
5	0.1843285067
6	0.1832200343
7	0.1810414918
8	0.1796186619
9	0.178049195
10	0.1763986291
11	0.1756142335
12	0.1727131983
13	0.1724523286
14	0.1721497747
15	0.1717451774
16	0.1713041414
17	0.1704784324
18	0.1698923853
19	0.1696803276
20	0.1690126772
21	0.1689992316
22	0.1682440843
23	0.1675144095
24	0.1671866782
25	0.1666984197
26	0.1656814628
27	0.1647419017
28	0.1641111079
29	0.1639792012
30	0.1635516073
31	0.1630164893
32	0.1628926693
33	0.1626441229
34	0.1615620622
35	0.1613060015
36	0.1604401834
37	0.1596072922
38	0.1591353423
39	0.1586145679
40	0.1579779399
41	0.1576792419
42	0.1574445347
43	0.1565538152
44	0.1556455586
45	0.1551127779
46	0.154880491
47	0.1545666069
48	0.1543772891
49	0.1542648946
50	0.1537402063
51	0.1532879983
52	0.1530120615
53	0.1528729115
54	0.1521034227
55	0.1516920361
56	0.1513995478
57	0.1511180062
58	0.1508874643
59	0.1506207094
60	0.150052936
61	0.1496685299
62	0.1492894341
63	0.1491716982
64	0.1486518048
65	0.1481696687
66	0.1478189201
67	0.1473268975
68	0.1471819846
69	0.1466400248
70	0.1460841884
71	0.1454998854
72	0.1451941556
73	0.1450736092
74	0.1448507189
75	0.1447715324
76	0.1445766768
77	0.1444028295
78	0.1444027829
79	0.1442233752
