iter	Passed	Remaining
0	16	1288
1	40	1574
2	83	2151
3	120	2297
4	158	2377
5	195	2411
6	215	2247
7	250	2257
8	283	2234
9	319	2238
10	354	2221
11	388	2202
12	424	2189
13	461	2174
14	495	2146
15	543	2172
16	578	2144
17	613	2114
18	650	2088
19	685	2056
20	729	2048
21	764	2014
22	798	1979
23	833	1944
24	869	1913
25	903	1875
26	938	1842
27	975	1811
28	1013	1781
29	1049	1748
30	1083	1713
31	1117	1676
32	1159	1651
33	1195	1617
34	1231	1583
35	1266	1547
36	1302	1513
37	1342	1483
38	1379	1450
39	1414	1414
40	1448	1377
41	1481	1340
42	1516	1305
43	1556	1273
44	1595	1240
45	1632	1206
46	1666	1170
47	1699	1133
48	1736	1098
49	1773	1064
50	1809	1028
51	1844	993
52	1879	957
53	1913	921
54	1947	885
55	1985	850
56	2023	816
57	2056	779
58	2104	749
59	2140	713
60	2178	678
61	2213	642
62	2248	606
63	2284	571
64	2322	535
65	2372	503
66	2421	469
67	2477	437
68	2538	404
69	2588	369
70	2639	334
71	2695	299
72	2748	263
73	2805	227
74	2858	190
75	2924	153
76	2961	115
77	2994	76
78	3028	38
79	3060	0
